"中学校生徒数,学級数",一学年（人）,二学年（人）,三学年（人）,男（人）,女（人）,計（人）,生徒数（再掲）特別支援学級,学級数（学級）,（再掲）特別支援学級数
岡山市南区芳泉中学校,320,312,320,509,443,952,33,32,5
岡山市南区福浜中学校,208,227,237,350,322,672,27,24,4
岡山市南区福田中学校,131,104,103,174,164,338,7,12,2
岡山県倉敷天城中学校,120,120,120,188,172,360,,9,
倉敷市東中学校,245,232,235,386,326,712,29,27,6
倉敷市西中学校,288,282,314,446,438,884,28,30,5
倉敷市南中学校,380,334,344,552,506,"1,058",41,37,6
倉敷市北中学校,213,205,192,321,289,610,23,22,4
倉敷市多津美中学校,181,192,190,295,268,563,11,20,2
倉敷市新田中学校,239,209,201,333,316,649,17,22,3
倉敷市東陽中学校,268,271,260,423,376,799,24,29,5
倉敷市庄中学校,139,130,134,214,189,403,14,16,4
倉敷市倉敷第一中学校,222,244,257,407,316,723,11,24,2
倉敷市福田中学校,221,191,190,295,307,602,31,22,4
倉敷市福田南中学校,145,146,151,228,214,442,16,17,3
倉敷市水島中学校,84,80,74,119,119,238,25,10,4
倉敷市連島中学校,193,179,192,295,269,564,14,20,3
倉敷市連島南中学校,102,113,107,165,157,322,15,12,2
倉敷市味野中学校,115,112,136,203,160,363,15,14,3
倉敷市下津井中学校,19,19,29,33,34,67,2,5,2
倉敷市児島中学校,157,146,153,247,209,456,26,19,5
倉敷市琴浦中学校,168,144,176,257,231,488,17,17,3
倉敷市郷内中学校,76,68,63,114,93,207,7,8,2
倉敷市玉島東中学校,176,156,172,237,267,504,21,19,4
倉敷市玉島西中学校,142,131,120,201,192,393,14,14,2
倉敷市玉島北中学校,216,200,199,326,289,615,20,22,4
倉敷市黒崎中学校,34,24,25,32,51,83,2,5,2
倉敷市船穂中学校,61,66,55,110,72,182,4,8,2
倉敷市真備東中学校,122,142,132,198,198,396,11,14,2
倉敷市真備中学校,78,83,75,129,107,236,5,9,2
岡山県津山中学校,80,80,80,118,122,240,,6,
津山市津山東中学校,230,212,222,352,312,664,24,23,5
津山市中道中学校,117,96,129,171,171,342,19,15,4
津山市北陵中学校,200,222,219,349,292,641,17,22,3
津山市鶴山中学校,74,72,73,116,103,219,10,8,2
津山市津山西中学校,140,142,143,224,201,425,18,15,3
津山市加茂中学校,36,29,32,49,48,97,2,4,1
津山市勝北中学校,59,52,54,83,82,165,8,8,2
津山市久米中学校,53,69,54,87,89,176,9,8,2
玉野市宇野中学校,122,99,114,166,169,335,8,13,2
玉野市玉中学校,50,56,52,91,67,158,3,8,2
玉野市日比中学校,45,40,58,78,65,143,6,7,2
玉野市山田中学校,18,32,19,43,26,69,2,4,1
玉野市荘内中学校,115,108,86,157,152,309,14,13,3
玉野市八浜中学校,42,28,47,63,54,117,4,6,1
玉野市東児中学校,26,31,32,51,38,89,4,4,1
笠岡市笠岡東中学校,106,113,118,201,136,337,7,13,2
笠岡市笠岡西中学校,66,81,64,109,102,211,6,9,2
笠岡市金浦中学校,72,77,71,111,109,220,6,8,2
笠岡市新吉中学校,27,28,40,51,44,95,5,5,2
笠岡市大島中学校,17,26,28,36,35,71,3,4,1
笠岡市神島外中学校,4,6,5,10,5,15,,3,
笠岡市白石中学校,1,1,3,3,2,5,,3,
笠岡市北木中学校,,,3,2,1,3,,1,
笠岡市真鍋中学校,1,1,2,2,2,4,,3,
笠岡市小北中学校,37,16,32,39,46,85,5,5,2
井原市高屋中学校,47,52,67,90,76,166,7,8,2
井原市木之子中学校,49,62,54,84,81,165,10,9,3
井原市井原中学校,126,136,148,225,185,410,14,14,2
井原市芳井中学校,32,25,27,38,46,84,4,5,2
井原市美星中学校,29,20,25,40,34,74,1,4,1
総社市総社東中学校,271,276,274,448,373,821,34,30,6
総社市総社西中学校,271,252,235,423,335,758,19,26,4
総社市総社中学校,83,76,90,118,131,249,11,9,2
総社市昭和中学校,17,17,25,25,34,59,5,5,2
高梁市高梁中学校,101,119,111,188,143,331,17,14,3
高梁市高梁東中学校,19,10,20,22,27,49,,3,
高梁市高梁北中学校,18,15,14,25,22,47,1,4,1
高梁市有漢中学校,23,16,16,30,25,55,,3,
高梁市成羽中学校,31,43,38,68,44,112,5,6,2
高梁市川上中学校,20,12,18,27,23,50,5,5,2
新見市新見第一中学校,114,123,126,199,164,363,10,14,2
新見市新見南中学校,43,46,44,60,73,133,2,7,1
新見市大佐中学校,20,29,26,42,33,75,,3,
新見市哲多中学校,25,18,26,42,27,69,1,4,1
新見市哲西中学校,17,24,24,33,32,65,,3,
備前市備前中学校,119,75,106,164,136,300,19,11,3
備前市伊里中学校,30,38,36,63,41,104,5,5,2
備前市三石中学校,11,11,11,18,15,33,,3,
備前市日生中学校,39,39,60,74,64,138,13,7,3
備前市吉永中学校,31,23,45,50,49,99,3,6,2
瀬戸内市牛窓中学校,39,39,37,54,61,115,3,5,2
瀬戸内市邑久中学校,138,135,151,202,222,424,10,14,2
瀬戸内市長船中学校,112,97,129,171,167,338,12,12,2
赤磐市高陽中学校,83,92,96,149,122,271,17,11,3
赤磐市桜が丘中学校,187,184,182,286,267,553,20,19,3
赤磐市赤坂中学校,19,30,27,43,33,76,9,5,2
赤磐市磐梨中学校,70,57,60,108,79,187,15,9,3
赤磐市吉井中学校,25,25,18,37,31,68,8,5,2
真庭市北房中学校,41,29,41,53,58,111,4,7,2
真庭市落合中学校,101,113,121,158,177,335,9,13,2
真庭市久世中学校,96,112,96,157,147,304,7,12,2
真庭市勝山中学校,58,66,68,115,77,192,8,9,3
真庭市湯原中学校,20,16,17,24,29,53,1,4,1
真庭市蒜山中学校,47,50,40,69,68,137,5,7,1
美作市勝田中学校,13,15,24,29,23,52,4,5,2
美作市大原中学校,45,31,34,63,47,110,6,6,2
美作市美作中学校,96,84,84,136,128,264,16,12,3
美作市作東中学校,37,55,35,66,61,127,10,6,2
美作市英田中学校,16,26,19,23,38,61,8,5,2
浅口市金光中学校,86,88,89,144,119,263,8,11,2
浅口市鴨方中学校,145,151,146,243,199,442,9,14,2
浅口市寄島中学校,25,23,32,42,38,80,,3,
和気郡和気町佐伯中学校,17,24,20,29,32,61,1,4,1
和気郡和気町和気中学校,72,87,85,128,116,244,6,10,2
都窪郡早島町早島中学校,132,103,116,186,165,351,10,13,2
浅口郡里庄町里庄中学校,99,93,93,148,137,285,9,11,2
小田郡矢掛町矢掛中学校,89,94,77,126,134,260,8,10,2
真庭郡新庄村新庄中学校,6,8,5,10,9,19,,3,
苫田郡鏡野町鏡野中学校,95,109,108,171,141,312,17,14,3
勝田郡勝央町勝央中学校,102,104,90,157,139,296,20,12,3
勝田郡奈義町奈義中学校,38,33,55,62,64,126,8,6,2
英田郡西粟倉村西粟倉中学校,13,15,14,24,18,42,2,4,1
久米郡久米南町久米南中学校,31,41,34,58,48,106,5,5,2
久米郡美咲町中央中学校,53,66,70,96,93,189,9,8,2
久米郡美咲町旭中学校,16,8,18,26,16,42,3,5,2
久米郡美咲町柵原中学校,50,33,44,69,58,127,7,7,2
加賀郡吉備中央町加賀中学校,83,81,87,135,116,251,15,12,3
