"中学校生徒数,学級数",一学年（人）,二学年（人）,三学年（人）,男（人）,女（人）,計（人）,生徒数（再掲）特別支援学級,学級数（学級）,（再掲）特別支援学級数
岡山県岡山操山中学校,120,120,120,162,198,360,,9,
岡山市北区足守中学校,48,41,46,69,66,135,6,7,2
岡山市北区岡輝中学校,88,79,89,128,128,256,24,11,4
岡山市北区中山中学校,139,167,187,245,248,493,14,18,3
岡山市北区石井中学校,139,127,140,218,188,406,19,16,4
岡山市北区高松中学校,179,165,184,286,242,528,16,19,3
岡山市北区建部中学校,26,28,40,52,42,94,4,5,2
岡山市北区御南中学校,292,293,292,463,414,877,17,28,3
岡山市北区京山中学校,292,285,275,463,389,852,24,28,4
岡山市北区岡北中学校,153,142,160,246,209,455,15,15,3
岡山市北区吉備中学校,301,290,298,471,418,889,17,29,3
岡山市北区岡山中央中学校,127,126,143,183,213,396,20,15,5
岡山市北区桑田中学校,262,235,257,391,363,754,28,29,6
岡山市北区御津中学校,45,55,52,75,77,152,11,8,2
岡山市北区岡山後楽館中学校,78,75,78,79,152,231,,6,
岡山市北区香和中学校,160,150,135,223,222,445,14,14,2
岡山市中区竜操中学校,324,287,320,438,493,931,36,33,7
岡山市中区操山中学校,205,174,196,312,263,575,27,22,5
岡山市中区高島中学校,170,162,158,255,235,490,24,17,4
岡山市中区緑ヶ丘中学校,6,8,16,22,8,30,,3,
岡山市中区操南中学校,267,244,261,414,358,772,26,28,5
岡山市中区東山中学校,117,116,97,178,152,330,14,12,3
岡山市中区富山中学校,97,109,108,167,147,314,12,11,2
岡山市東区旭東中学校,258,300,305,449,414,863,38,32,7
岡山市東区上南中学校,50,44,50,70,74,144,4,8,2
岡山市東区山南中学校,68,63,69,97,103,200,3,8,2
岡山市東区西大寺中学校,172,148,187,273,234,507,17,18,3
岡山市東区瀬戸中学校,124,122,107,189,164,353,10,11,2
岡山市東区上道中学校,124,158,123,204,201,405,12,13,2
岡山市南区光南台中学校,38,43,43,60,64,124,3,7,2
岡山市南区灘崎中学校,130,143,133,220,186,406,20,16,4
岡山市南区妹尾中学校,92,113,99,168,136,304,13,11,2
岡山市南区福南中学校,152,136,141,211,218,429,16,15,3
岡山市南区芳田中学校,157,169,136,251,211,462,13,16,3
岡山市南区興除中学校,111,108,127,199,147,346,14,13,3
岡山市南区藤田中学校,109,127,118,188,166,354,16,12,3
