"小学校生徒数,学級数",一学年（人）,二学年（人）,三学年（人）,四学年（人）,五学年（人）,六学年（人）,男（人）,女（人）,男女合計（人）,児童数（再掲）特別支援学級,学級数（学級）,（再掲）特別支援学級数,
岡山市立芳泉小学校,210,10,9,261,252,224,510,456,966,74,37,12
岡山市立芳泉小学校ひばり分校,0,200,218,0,0,0,194,224,418,0,12,0
岡山市立興除小学校,43,42,37,27,25,30,96,108,204,13,11,3
岡山市立灘崎小学校,65,49,40,74,45,56,181,148,329,21,14,3
岡山市立灘崎小学校迫川分校,11,15,4,0,0,0,14,16,30,0,3,0
岡山市立七区小学校,30,16,24,20,30,25,75,70,145,11,8,2
岡山市立彦崎小学校,38,49,39,64,60,63,164,149,313,16,14,2
岡山市立南輝小学校,94,83,89,99,100,76,286,255,541,37,23,6
岡山市立東疇小学校,59,62,88,63,71,60,221,182,403,29,17,4
岡山市立平福小学校,80,96,80,94,89,106,276,269,545,22,21,4
岡山市立福浜小学校,139,112,166,133,142,143,431,404,835,33,30,5
岡山市立第一藤田小学校,35,47,40,36,40,47,133,112,245,17,11,3
岡山市立第二藤田小学校,47,54,44,71,58,66,176,164,340,18,15,3
岡山市立第三藤田小学校,19,29,28,22,24,21,70,73,143,14,9,3
岡山市立芳明小学校,89,88,95,87,86,96,267,274,541,27,22,4
岡山市立箕島小学校,47,44,47,36,37,36,112,135,247,11,12,3
倉敷市立倉敷東小学校,85,65,71,79,51,50,218,183,401,23,18,5
倉敷市立倉敷西小学校,66,55,46,60,55,36,156,162,318,8,13,2
倉敷市立老松小学校,154,126,156,162,127,173,461,437,898,49,34,7
倉敷市立万寿小学校,125,133,142,170,172,144,451,435,886,40,32,6
倉敷市立万寿東小学校,106,95,66,100,92,97,276,280,556,12,20,3
倉敷市立大高小学校,201,178,170,179,188,171,559,528,1087,57,42,10
倉敷市立葦高小学校,115,144,139,134,123,148,437,366,803,36,29,5
倉敷市立倉敷南小学校,109,87,102,109,104,103,299,315,614,31,23,5
倉敷市立中洲小学校,142,127,147,124,133,113,372,414,786,37,30,6
倉敷市立中島小学校,158,163,138,168,134,124,480,405,885,33,32,5
倉敷市立粒江小学校,88,102,94,76,85,73,285,233,518,18,19,3
倉敷市立中庄小学校,153,138,178,144,154,156,458,465,923,46,35,7
倉敷市立帯江小学校,129,105,106,115,90,83,330,298,628,27,23,4
倉敷市立菅生小学校,74,85,72,91,79,74,250,225,475,19,17,3
倉敷市立豊洲小学校,68,69,81,80,59,75,220,212,432,24,17,4
倉敷市立庄小学校,138,151,164,157,143,142,463,432,895,29,32,6
倉敷市立茶屋町小学校,220,206,208,218,241,219,680,632,1312,45,45,7
倉敷市立西阿知小学校,167,177,140,172,126,142,491,433,924,30,32,5
倉敷市立第一福田小学校,117,122,133,118,88,110,358,330,688,27,26,4
倉敷市立第二福田小学校,126,103,119,125,120,108,351,350,701,25,26,4
倉敷市立第三福田小学校,47,59,71,41,66,50,172,162,334,15,15,3
倉敷市立第四福田小学校,100,116,111,103,118,109,328,329,657,44,27,7
倉敷市立第五福田小学校,63,45,41,56,62,52,176,143,319,23,15,4
倉敷市立水島小学校,15,17,20,21,23,22,68,50,118,15,9,3
倉敷市立旭丘小学校,54,44,52,53,50,46,143,156,299,17,15,3
倉敷市立連島西浦小学校,48,43,44,43,57,50,148,137,285,9,14,2
倉敷市立連島神亀小学校,51,56,55,60,53,58,173,160,333,15,15,3
倉敷市立連島東小学校,55,54,74,82,83,81,196,233,429,22,18,4
倉敷市立連島南小学校,149,125,142,122,111,119,407,361,768,26,28,5
倉敷市立連島北小学校,23,24,21,20,13,12,54,59,113,0,6,0
倉敷市立霞丘小学校,1,3,2,0,1,2,5,4,9,0,3,0
倉敷市立天城小学校,103,99,106,102,110,111,317,314,631,14,21,2
倉敷市立味野小学校,54,54,41,52,48,51,169,131,300,19,15,3
倉敷市立赤崎小学校,71,70,65,72,67,62,212,195,407,22,15,3
倉敷市立下津井東小学校,11,14,17,22,19,12,47,48,95,2,7,1
