"小学校生徒数,学級数",一学年（人）,二学年（人）,三学年（人）,四学年（人）,五学年（人）,六学年（人）,男（人）,女（人）,男女合計（人）,児童数（再掲）特別支援学級,学級数（学級）,（再掲）特別支援学級数
鏡野町立香々美小学校,10,4,7,6,6,8,15,26,41,2,5,1
鏡野町立香北小学校,1,5,2,1,4,3,5,11,16,0,3,0
鏡野町立奥津小学校,7,6,11,8,11,9,24,28,52,1,7,1
鏡野町立上齋原小学校,0,1,2,2,2,1,5,3,8,0,3,0
鏡野町立富小学校,2,2,4,3,3,3,10,7,17,0,3,0
勝央町立勝間田小学校,82,67,65,79,75,59,228,199,427,28,18,4
勝央町立勝央北小学校,25,40,37,38,41,42,109,114,223,15,11,3
奈義町立奈義小学校,56,53,48,44,47,40,145,143,288,21,15,3
西粟倉村立西粟倉小学校,14,17,17,6,14,12,34,46,80,4,7,1
久米南町立弓削小学校,4,11,13,11,12,18,32,37,69,2,8,2
久米南町立誕生寺小学校,7,10,9,9,6,9,26,24,50,2,7,1
久米南町立神目小学校,11,7,10,11,11,8,24,34,58,2,7,1
美咲町立加美小学校,23,23,24,27,36,27,73,87,160,14,9,3
美咲町立美咲中央小学校,22,38,26,28,36,28,84,94,178,13,10,3
美咲町立旭小学校,15,10,14,11,13,17,45,35,80,7,8,2
美咲町立柵原西小学校,19,22,18,17,31,30,74,63,137,14,9,3
美咲町立柵原東小学校,20,11,11,11,18,19,49,41,90,2,7,1
吉備中央町立津賀小学校,7,9,6,8,8,12,21,29,50,2,6,1
吉備中央町立円城小学校,14,10,9,9,10,12,31,33,64,6,8,2
吉備中央町立御北小学校,10,14,5,9,8,8,27,27,54,5,7,2
吉備中央町立上竹荘小学校,10,9,10,7,12,8,30,26,56,0,6,0
吉備中央町立豊野小学校,13,9,7,9,15,18,39,32,71,5,8,2
吉備中央町立下竹荘小学校,2,6,3,4,3,4,13,9,22,0,3,0
吉備中央町立吉川小学校,2,5,3,7,5,3,12,13,25,0,3,0
吉備中央町立大和小学校,8,14,8,6,8,12,28,28,56,4,8,2
吉備中央町立吉備高原小学校,6,13,12,11,6,15,36,27,63,3,8,2
